RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
94,Matt Jones,39,294.1,62.2,94,66.6,1.758,53.1
95,Hank Lebioda,--,294,65.6,95,69.2,1.759,43.4
96,Sam Ryder,30,293.9,63.6,96,68,1.742,62.4
97,Joey Garber,28,293.9,62.5,97,66.4,1.787,50
98,J.T. Poston,26,293.8,62.9,98,66.8,1.743,52.8
99,Danny Willett,32,293.8,59.6,98,66.2,1.775,53.6
100,Stephan Jaeger,30,293.7,59.5,100,66,1.769,54.3
101,Richy Werenski,28,293.6,61.3,101,65.9,1.76,45.2
102,Bud Cauley,30,293.4,63.3,102,67.2,1.73,56.4
103,Troy Merritt,34,293.3,66.4,103,68.9,1.729,48.8
104,Abraham Ancer,29,293.3,70.2,104,66.8,1.749,46.6
105,Anders Albertson,26,293.2,60.1,105,67.7,1.806,52.2
106,Scott Piercy,41,292.4,67.6,106,70.1,1.748,50.4
107,Kiradech Aphibarnrat,30,292.4,63.2,107,61.6,1.762,52.7
108,Si Woo Kim,24,292.4,62.9,108,64.9,1.729,56.6
109,Joel Dahmen,32,292.4,68.5,109,66.7,1.758,50.3
110,Peter Malnati,32,292.2,54.6,110,64,1.732,50
111,Nick Taylor,31,292.1,61.7,111,67.3,1.748,46.8
112,Adam Long,32,292,66.5,112,65.3,1.791,49.6
113,Josh Teater,40,292,63.5,113,70.5,1.767,37.5
114,Kevin Streelman,41,291.8,68,114,69.8,1.768,50.4
115,Julian Etulain,31,291.8,54.8,115,63.5,1.779,47.5
116,Billy Horschel,33,291.8,64.7,116,67.6,1.762,47.9
117,Ian Poulter,44,291.5,63.6,117,66.9,1.736,62
118,Bill Haas,37,291.5,61.3,118,64.7,1.776,52.3
119,Adam Hadwin,32,291.2,67.8,119,67.5,1.734,55.9
120,Austin Cook,29,291,70.3,120,65.7,1.753,48.9
121,Kramer Hickok,27,291,69.2,121,67.1,1.786,43.6
122,Denny McCarthy,27,290.8,65.8,122,66,1.72,48.8
123,Tom Hoge,30,290.4,61.8,123,65.8,1.793,49.6
124,J.J. Spaun,29,290.4,63.6,124,68.4,1.774,47.1
125,Fabian Gomez,41,290.2,68.2,125,68.1,1.775,45.3
126,Kelly Kraft,31,290.2,61.6,126,62.4,1.74,48.6
127,Anirban Lahiri,32,290.2,60.1,127,63,1.746,54.6
128,Jose de Jesus Rodriguez,29,290.2,60.3,128,64.3,1.753,51.7
129,Jason Dufner,43,290.1,67.8,129,70.8,1.796,50.7
130,Adam Svensson,26,289.8,65.2,130,69.4,1.784,47.4
131,Chris Stroud,38,289.8,58.3,131,63,1.757,52.6
132,Rafael Cabrera Bello,35,289.6,64.5,132,63,1.747,53.1
133,Nate Lashley,37,289.6,65.2,133,67.5,1.728,52.1
134,Kevin Na,36,289.6,64,134,64.4,1.767,55.3
135,Matt Kuchar,41,289.5,67.4,135,69.4,1.748,60.8
136,Curtis Luck,23,289.4,55.9,136,62.4,1.742,48
137,Rory Sabbatini,44,289.4,66.9,137,66.9,1.738,55.6
138,Jonas Blixt,35,289.4,64.3,138,65.1,1.752,46.6
139,Russell Knox,34,289.2,65.9,139,69.1,1.779,59.6
140,Ryan Blaum,36,289.2,62.5,140,65,1.746,49.6
141,Kyle Stanley,32,288.9,69.1,141,67.5,1.787,49.6
142,J.J. Henry,45,288.8,65.1,142,66.7,1.856,39.8
143,Francesco Molinari,37,288.7,66.4,143,63.6,1.786,65.3
144,Robert Streb,32,288.7,60.9,144,66.1,1.784,46.7
145,Scott Brown,36,288.6,65.4,145,66.5,1.777,50
146,Webb Simpson,34,288.6,66.8,146,65.8,1.726,63
147,Brian Harman,33,288.4,68.2,147,64.2,1.767,58.5
148,Michael Thompson,34,288.4,69.1,148,65.7,1.749,54.9
149,Jim Herman,42,288.3,70.1,149,66.2,1.778,44.2
150,Tyler Duncan,30,288.2,69.6,150,68.5,1.784,44.6
151,Matthew Fitzpatrick,25,287.9,66.1,151,63.9,1.751,47.7
152,Russell Henley,30,287.7,69.3,152,68.1,1.781,43.3
153,Zach Johnson,44,287.5,66.6,153,62.6,1.767,54.1
154,Roberto Diaz,33,287.4,67.8,154,66.6,1.755,52.4
155,Brice Garnett,36,287.4,71.5,155,69.5,1.766,44.4
156,Benjamin Silverman,--,287.2,68,156,66.5,1.783,61.2
157,Brandt Snedeker,39,287.2,63.2,157,64.9,1.746,62.3
158,Chez Reavie,38,287,75.7,158,67.9,1.737,48.9
159,Andrew Landry,32,286.8,71.7,159,67.1,1.758,50
160,Kevin Kisner,36,286.4,69.4,160,67,1.76,45.8
161,Rod Pampling,50,286.4,62.8,160,64,1.803,46.2
162,Aaron Baddeley,39,286.3,57.7,162,63.3,1.722,54.5
163,Kyoung-Hoon Lee,28,286.2,66,163,67.7,1.775,51.8
164,Pat Perez,44,286.1,65.3,164,65.3,1.756,50
165,Graeme McDowell,40,285.9,62.7,165,64.8,1.758,56.6
166,Freddie Jacobson,45,285.3,60.6,166,63.2,1.762,42.5
167,C.T. Pan,28,285,64.8,167,64.2,1.765,57.4
168,Whee Kim,28,284.3,62.1,168,66.2,1.78,45.5
169,Kyle Jones,26,284,68.6,169,66,1.801,39
170,Roberto Castro,34,283.8,67.5,170,68.4,1.772,46.9
171,Johnson Wagner,40,283.4,67.1,171,71.6,1.755,40.2
172,Brady Schnell,--,283.3,67.5,172,64.5,1.76,52.2
173,Vaughn Taylor,44,282.9,69,173,66.8,1.718,56.7
174,Henrik Stenson,43,282.7,72.1,174,66.1,1.78,49.3
175,Satoshi Kodaira,30,282.3,67.6,175,63.5,1.783,38.9
176,Ryan Moore,37,282.2,75.5,176,68.2,1.736,45.5
177,Jonathan Byrd,42,281.6,58.2,177,65.2,1.763,41.2
178,Andrew Putnam,31,281.5,60.6,178,65.9,1.701,61
179,Ted Potter Jr.,36,281.4,63.2,179,66.4,1.762,41.8
180,David Hearn,40,279.3,69.9,180,67.5,1.75,50.7
181,Michael Kim,26,279.3,53,181,60.1,1.798,46.6
182,Alex Cejka,49,278,67.2,182,64.4,1.798,42
183,Ryan Armour,44,277.9,73.8,183,67.6,1.771,53.6
184,Brian Stuard,37,276.6,71.1,184,64.9,1.749,52.9
185,Jim Furyk,49,275,74.4,185,69.3,1.785,53.4
186,Brian Gay,48,274.9,70.2,186,64.4,1.758,48.3
187,Scott Langley,31,271.3,69,187,62,1.735,53
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
