RK,PlayerName,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle
158,Kyoung-Hoon Lee,28,5,313,939,228,3.726,302
159,Corey Conners,28,5,326,991,200,3.791,310
160,Rod Pampling,50,3,160,600,159,3.077,312
161,J.B. Holmes,37,4,267,783,192,3.761,320
162,Francesco Molinari,37,3,173,646,134,3.204,324
164,Jimmy Walker,42,4,243,875,185,3.284,333
165,Andrew Putnam,31,4,316,835,181,4.158,342
166,Phil Mickelson,49,3,235,643,169,3.917,360
167,Kevin Streelman,41,4,305,937,191,3.765,365
169,J.J. Spaun,29,4,313,939,202,3.817,369
170,Satoshi Kodaira,30,3,225,680,212,3.516,384
171,Jose de Jesus Rodriguez,29,3,250,722,184,3.846,390
172,Jim Furyk,49,3,235,822,153,3.456,408
173,Aaron Wise,23,3,305,724,184,4.42,414
174,Brian Stuard,37,4,347,1090,232,3.691,423
175,Sam Saunders,32,3,280,826,193,3.784,444
176,Alex Cejka,49,2,155,593,139,3.1,450
177,Tyrrell Hatton,28,2,217,646,155,3.741,522
178,Ryan Armour,44,3,346,1067,224,3.761,552
179,Danny Willett,32,2,229,714,166,3.635,567
180,Cameron Tringale,32,2,269,736,147,4.138,585
181,Anirban Lahiri,32,2,247,779,185,3.58,621
183,Dustin Johnson,35,2,295,774,171,4.214,630
184,Ted Potter Jr.,36,2,271,775,190,3.817,639
185,Andrew Landry,32,2,284,839,185,3.838,666
186,Henrik Stenson,43,1,173,594,122,3.46,900
187,Daniel Berger,26,1,246,761,167,3.727,1188
,,,,,,,,
,Adam Long,32,13,245,875,205,3.224,105
,Emiliano Grillo,27,13,293,859,213,3.756,108
,,,,,,,,
,,,,,,,,
,Harris English,30,13,318,1068,215,3.495,126
,Austin Cook,29,9,252,690,179,3.938,128
,Seamus Power,33,10,232,828,198,3.222,130
,Patrick Rodgers,27,7,187,566,143,3.667,131
,Matthew Fitzpatrick,25,7,181,568,141,3.549,131
,Joaquin Niemann,21,13,355,1107,234,3.698,133
,Adam Hadwin,32,11,326,897,217,3.976,134
,Rafael Cabrera Bello,35,9,272,725,194,4,136
,,,,,,,,
,Sung Kang,32,11,307,946,214,3.655,137
,Jason Day,32,8,256,723,149,4,144
,Sebastian Munoz,27,10,323,886,200,4.038,144
,,,,,,,,
,Cameron Champ,24,9,313,798,206,4.118,152
,Chris Stroud,38,7,213,709,166,3.435,159
,,,,,,,,
,Danny Lee,29,9,317,882,214,3.914,162
,Wes Roach,31,7,230,740,145,3.651,162
,Sang-Moon Bae,33,6,191,601,156,3.537,162
,Jason Kokrak,34,10,364,1009,207,4.044,162
,Nick Taylor,31,10,350,1065,236,3.763,167
,,,,,,,,
,Michael Thompson,34,7,271,808,172,3.817,183
,Stephan Jaeger,30,7,255,827,172,3.592,183
,,,,,,,,
,,,,,,,,
,Kevin Tway,31,7,285,937,192,3.563,206
,Russell Henley,30,6,255,813,168,3.643,210
,Si Woo Kim,24,7,338,910,194,4.122,211
,,,,,,,,
,Jim Herman,42,4,172,540,134,3.583,216
,Russell Knox,34,6,260,846,158,3.611,216
,Robert Streb,32,6,247,844,176,3.431,216
,Alexander Noren,37,5,203,682,169,3.383,216
,Wyndham Clark,26,7,358,946,188,4.212,219
,,,,,,,,
,Byeong-Hun An,28,6,306,865,185,3.974,231
,Roberto Diaz,33,5,243,742,165,3.738,234
,,,,,,,,
,Bronson Burgoon,32,4,207,619,134,3.764,248
,Beau Hossler,25,6,329,907,221,3.964,249
,Sergio Garcia,40,3,156,495,124,3.545,264
,,,,,,,,
,Curtis Luck,23,4,213,658,167,3.61,266
,Scott Langley,31,5,263,837,204,3.554,266
,,,,,,,,
,Kiradech Aphibarnrat,30,4,218,718,151,3.516,279
,Ryan Palmer,43,4,278,724,158,4.212,297
,Roberto Castro,34,4,267,840,164,3.708,324
,Denny McCarthy,27,4,344,907,188,4.247,365
,,,,,,,,
,,,,,,,,
,Whee Kim,28,2,250,766,188,3.623,621
