RK,PlayerName,Age,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings
109,Matt Jones,39,27,84,17,2,0,515,1024852
110,Mackenzie Hughes,29,25,76,15,2,0,479,1022081
111,Brice Garnett,36,28,85,15,2,0,466,1019594
112,Roger Sloan,32,27,84,17,3,0,505,1015661
113,Nick Watney,38,26,83,17,3,0,480,1008964
114,Scott Brown,36,27,82,15,4,0,442,999457
115,Patton Kizzire,34,25,74,13,1,0,406,995341
116,Ryan Armour,44,28,92,17,1,0,475,955468
117,Sebastian Munoz,27,26,80,16,3,0,423,946666
118,Sepp Straka,26,25,72,13,1,0,432,934894
119,Jason Dufner,43,25,72,13,2,0,327,926365
120,Denny McCarthy,27,28,81,16,2,0,443,925156
121,Alexander Noren,37,0,60,14,0,0,367,913446
122,Kelly Kraft,31,31,81,12,3,0,399,905681
123,Aaron Baddeley,39,18,55,10,3,0,428,904982
124,Nick Taylor,31,28,93,21,1,0,408,892663
125,Andrew Landry,32,25,74,15,1,0,481,887405
126,Martin Kaymer,35,14,44,10,1,0,288,877761
127,Peter Malnati,32,26,83,18,1,0,423,864496
128,Martin Laird,37,26,80,18,4,0,408,863054
129,Wes Roach,31,21,63,13,2,0,345,860264
130,Richy Werenski,28,27,83,17,1,0,374,851329
131,Peter Uihlein,30,29,78,14,2,0,353,842991
132,Jonas Blixt,35,26,76,15,1,0,392,838271
133,Austin Cook,29,23,64,12,2,0,364,837788
134,Bronson Burgoon,32,20,55,9,2,0,343,814673
135,Shawn Stefani,38,25,76,15,2,0,374,798831
136,Robert Streb,32,28,72,12,2,0,372,796525
137,Seamus Power,33,27,72,13,2,0,308,773976
138,Ted Potter Jr.,36,23,71,14,1,0,291,757721
139,Ryan Blaum,36,28,82,18,1,0,323,755802
140,Zack Sucher,--,10,30,7,1,0,305,753782
141,Daniel Berger,26,20,66,15,1,0,361,742340
142,Bill Haas,37,23,69,16,2,0,312,730806
143,Martin Trainer,28,25,61,7,1,1,354,692155
144,Jim Herman,42,21,48,5,1,1,321,678185
145,Roberto Castro,34,22,72,16,2,0,312,674250
146,Dominic Bozzelli,28,24,67,13,2,0,316,668449
147,Josh Teater,40,24,67,13,2,0,296,663570
148,Hank Lebioda,--,23,70,15,1,0,291,656802
