,PlayerName,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings,YardsPerDrive,DrivingAcc,DriveTotal,GreensInReg,PuttAvg,SavePct,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle,PlayerID
168,Ollie Schniederjans,0,75,11,0,0,153,411682,306.4,48.5,17,62.9,1.744,51.4,26,11.0,274.0,831.0,196.0,3.653,123.0,178
169,Adam Svensson,0,67,11,0,0,223,405730,289.8,65.2,130,69.4,1.784,47.4,26,10.0,251.0,759.0,170.0,3.7460000000000004,121.0,179
170,David Hearn,18,47,9,1,0,195,397677,279.3,69.9,180,67.5,1.75,50.7,40,5.0,167.0,541.0,119.0,3.553,169.0,180
171,Jose de Jesus Rodriguez,0,65,10,0,0,187,394402,290.2,60.3,128,64.3,1.7530000000000001,51.7,29,3.0,250.0,722.0,184.0,3.846,390.0,181
172,Julian Etulain,0,65,12,0,0,189,360653,291.8,54.8,115,63.5,1.7790000000000001,47.5,31,5.0,222.0,752.0,175.0,3.415,234.0,183
173,Seth Reeves,25,67,11,1,0,124,309588,311.4,57.2,7,66.8,1.795,40.4,--,9.0,238.0,744.0,184.0,3.552,134.0,184
174,Benjamin Silverman,0,68,11,0,0,143,298497,287.2,68.0,156,66.5,1.7830000000000001,61.2,--,8.0,234.0,782.0,181.0,3.4410000000000003,153.0,185
175,John Chin,21,54,7,1,0,140,294536,300.0,58.1,50,68.7,1.805,43.4,32,4.0,198.0,599.0,143.0,3.667,243.0,186
176,Whee Kim,27,69,9,1,0,118,292773,284.3,62.1,168,66.2,1.78,45.5,28,2.0,250.0,766.0,188.0,3.623,621.0,187
177,Hunter Mahan,0,59,8,0,0,141,287579,295.7,65.6,85,68.3,1.764,46.6,37,7.0,211.0,671.0,149.0,3.576,152.0,188
178,Kyle Jones,0,66,10,0,0,133,277762,284.0,68.6,169,66.0,1.801,39.0,26,5.0,216.0,773.0,172.0,3.273,238.0,190
179,Cody Gribble,0,66,11,0,0,111,248317,297.2,53.6,67,61.6,1.743,41.3,29,12.0,229.0,714.0,196.0,3.47,99.0,195
180,Brady Schnell,0,51,6,0,0,103,210914,283.3,67.5,172,64.5,1.76,52.2,--,7.0,172.0,580.0,143.0,3.373,131.0,199
