,PlayerName,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings,YardsPerDrive,DrivingAcc,DriveTotal,GreensInReg,PuttAvg,SavePct,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle,PlayerID
37,Andrew Putnam,23,76,18,3,0,"1,145",2439137,281.5,60.6,178,65.9,1.7009999999999998,61.0,31,4.0,316.0,835.0,181.0,4.158,342.0,40
38,Keith Mitchell,26,83,17,3,1,926,2405360,303.2,60.4,29,67.3,1.774,50.7,28,15.0,322.0,905.0,221.0,3.88,100.0,41
39,Rory Sabbatini,26,93,22,6,0,"1,140",2382298,289.4,66.9,137,66.9,1.7380000000000002,55.6,44,10.0,375.0,1054.0,209.0,4.032,167.0,42
40,C.T. Pan,25,82,17,2,1,"1,125",2362399,285.0,64.8,167,64.2,1.765,57.4,28,8.0,286.0,960.0,196.0,3.488,185.0,43
41,Jason Kokrak,24,90,23,5,0,-3,2330212,306.4,62.7,18,68.8,1.761,47.5,34,10.0,364.0,1009.0,207.0,4.044,162.0,44
42,Kevin Tway,26,80,16,2,1,"1,242",2300050,303.8,55.3,26,67.0,1.78,50.0,31,7.0,285.0,937.0,192.0,3.563,206.0,45
43,Kevin Na,19,60,14,3,1,823,2257309,289.6,64.0,134,64.4,1.767,55.3,36,9.0,205.0,684.0,161.0,3.417,120.0,46
44,Si Woo Kim,28,82,16,5,0,956,2191808,292.4,62.9,108,64.9,1.729,56.6,24,7.0,338.0,910.0,194.0,4.122,211.0,47
45,Billy Horschel,26,92,24,4,0,"1,065",2187249,291.8,64.7,116,67.6,1.7619999999999998,47.9,33,9.0,332.0,1078.0,222.0,3.609,184.0,48
46,Ian Poulter,18,58,15,6,0,"1,072",2162306,291.5,63.6,117,66.9,1.736,62.0,44,4.0,238.0,639.0,143.0,4.103,261.0,49
47,J.B. Holmes,25,71,15,2,1,856,2147065,306.7,56.5,16,65.6,1.786,53.1,37,4.0,267.0,783.0,192.0,3.761,320.0,50
48,Jordan Spieth,23,79,19,4,0,"1,026",2124192,295.2,53.1,89,62.8,1.694,54.6,26,5.0,336.0,854.0,188.0,4.253,284.0,51
49,Max Homa,25,80,16,2,1,825,2063606,300.2,57.5,49,65.1,1.7690000000000001,44.2,29,11.0,283.0,908.0,212.0,3.5380000000000003,131.0,52
50,Adam Hadwin,24,82,19,5,0,904,2039012,291.2,67.8,119,67.5,1.734,55.9,32,11.0,326.0,897.0,217.0,3.9760000000000004,134.0,53
51,Nate Lashley,21,68,14,2,1,849,2030287,289.6,65.2,133,67.5,1.7280000000000002,52.1,37,6.0,264.0,781.0,162.0,3.8819999999999997,204.0,54
52,Byeong-Hun An,22,77,19,3,0,892,1990033,307.1,58.0,15,67.7,1.775,58.5,28,6.0,306.0,865.0,185.0,3.9739999999999998,231.0,55
53,Joel Dahmen,29,96,21,2,0,868,1949958,292.4,68.5,109,66.7,1.758,50.3,32,7.0,373.0,1063.0,259.0,3.885,247.0,56
54,Rafael Cabrera Bello,19,68,17,2,0,713,1926935,289.6,64.5,132,63.0,1.7469999999999999,53.1,35,9.0,272.0,725.0,194.0,4.0,136.0,57
55,Keegan Bradley,25,82,20,3,0,761,1902797,298.5,66.3,61,68.5,1.7890000000000001,44.9,33,9.0,302.0,931.0,207.0,3.6830000000000003,164.0,58
